logAge,Mstar,logMstar,logMacc,a_value,b_value,c_value,is_synthetic
7.641255037186972,1.7187940852779284,0.23522385051827852,-8.341522563781337,-0.39880313646976717,1.158477718777893,-5.566667678136333,True
5.667445923551006,1.9300144886132404,0.28556056926744344,-6.751776744501096,-0.38404242305932995,1.173390219130454,-4.9103110584105885,True
7.363057545288805,0.9131563217484042,-0.039454869934002955,-9.980147867728572,-0.4731592495002962,1.0393458551174333,-6.455241830042125,True
5.20940318089972,0.36171606569373516,-0.4416322015309238,-8.36607853788876,-0.4588660285694242,1.0288702212270193,-5.521278168162282,True
7.312623630046359,0.6747790440309227,-0.17083841334292016,-7.863049366532832,-0.4870218857339432,1.1311501382972429,-4.108397721685735,True
7.531971297539676,0.4676371348341613,-0.3300910090302806,-8.954956137247926,-0.39415805438662394,1.0459944463747979,-5.640895622669866,True
5.292660066923297,1.2572128236709543,0.09940880220644735,-7.540976709836019,-0.41528924074073476,1.1208341411802731,-5.45441270859146,True
5.932116718110458,0.39735855009562104,-0.40081743768824046,-8.704284996520688,-0.40682564709632846,1.2135674749005023,-5.8045287682730455,True
5.709115709498066,0.3030332037535066,-0.5185097826631179,-7.7994040268587135,-0.3791984277652104,1.075902058820552,-5.076650583201538,True
5.841856213945767,1.346648857118633,0.129254366846699,-7.917033216734509,-0.4585501489261964,0.9867278622618022,-5.365788064910898,True
5.695993962098234,1.706278899113741,0.23205002005917186,-7.479418704268317,-0.42285301825828076,1.1319376777294923,-5.333516626236997,True
7.5311999607491,1.4496862750615143,0.16127402723407688,-7.516825824437687,-0.39590326181002233,1.1303145449676861,-4.717489573341798,True
5.66074256405226,0.8842695648673107,-0.05341532244347663,-8.411729051404162,-0.4168590638319035,1.2428208383748214,-5.985611529738664,True
6.1903649680940775,1.1299994832943072,0.05307824489715207,-8.859951199575905,-0.49375189324528035,1.0385354061561336,-5.8585704133225125,True
7.30153690339235,0.8367105647905229,-0.07742474732687334,-8.594487184785049,-0.4164597661690626,1.0390399563693735,-5.473243427239065,True
7.460317396253876,1.2486588078114254,0.09644378494939651,-7.477024881945759,-0.39802398379713855,1.1491580535204837,-4.618468783684292,True
7.070191198332836,1.4479851800309733,0.16076411692762865,-7.813680796608774,-0.4203535856940943,1.1224585673873864,-5.0221516352206255,True
6.213134899031307,0.7651994977938497,-0.11622532367536309,-9.046962115155342,-0.4410274012246319,0.9898440380407311,-6.191754433468086,True
7.4294315988803366,1.4280528533767936,0.154744281323289,-8.475273805032854,-0.40276981600712375,1.0604697338036426,-5.647024633736854,True
5.190675173043412,0.6134720278488502,-0.21220523477535252,-8.14723024231292,-0.381260229554443,0.9950957396672793,-5.957067709235793,True
5.209460047062109,1.318440894166443,0.12006066510197269,-7.760684998810941,-0.48401981244170117,1.1583008900223923,-5.378269499153698,True
5.188236457635377,1.9566048381835772,0.2915031230901588,-6.681539817976541,-0.378181965151967,1.1610440810917295,-5.057890334438496,True
5.900315690316063,0.652568887768666,-0.18537363571590765,-9.087302319856102,-0.4255318989394103,1.1309461175994937,-6.366882186195701,True
5.684941711947305,1.2180842989615608,0.08567734519912898,-7.9348664857132185,-0.4235301012232979,1.1794267704363526,-5.628172701551398,True
5.884506417285159,1.4169632929767577,0.1513585998140609,-7.237903718749797,-0.3970016056921022,1.1633591013674998,-5.077829627046038,True
7.052528362221613,0.2809871818603845,-0.5513134913912767,-9.067299623160327,-0.35207011817972833,1.1572606803526393,-5.946301703072019,True
6.2444307496836755,1.7596705402186186,0.24543136329212373,-8.42423620993045,-0.38073162574634223,1.2993114056737791,-6.365675708378455,True
